state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,adult_gun_at_home_perc,health_insured_2019_any_coverage,health_insured_2019_uninsured,is_hispanic,not_hispanic,total_popn,percent_high_school_or_higher,percent_bachelors_or_higher,children_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_65plus,winner2016,party2016,candidatevotes2016,totalvotes2016,percentage_of_vote_2016,x2020_winner,percentage_of_vote_2020,donald_trump,joe_biden,other_candidates,tot_death,tot_cases,female,male,asian,black,mixed_race,native,native_hawaiian_pacific_islander,white,net_int_migration,party2020,college_votes_available
Georgia,52184,48141,NA,6.4,3.2,39,9023000,1398000,1048724,9568699,10617423,86.7,30.7,0.253,0.089,0.122,0.267,0.125,0.145,"Trump, Donald J.",republican,2089104,4114732,NA,NA,NA,2457794,2471895,62509,8029,364589,5456999,5160424,463966,3458147,235386,56008,12411,6391505,1.424896375,Democrat,16
Hawaii,65961,56746,NA,15.1,2.7,NA,1302000,56000,150864,1265008,1415872,91.8,32.5,0.228,0.072,0.116,0.255,0.132,0.197,"Clinton, Hillary",democrat,266891,437664,NA,NA,NA,196602,365802,11450,218,15229,707832,708040,532190,30958,342288,5570,143549,361317,3.5353864760000002,Democrat,4
Idaho,50169,45823,NA,6.1,2.9,53,1574000,191000,229490,1557575,1787065,90.6,26.9,0.267,0.085,0.12,0.242,0.125,0.162,"Trump, Donald J.",republican,409055,690255,NA,NA,NA,554019,286991,26961,647,67024,891137,895928,27711,16346,45579,31120,3944,1662365,0.094414265,Republican,4
Illinois,66224,58425,NA,10.2,3.7,24,11565000,923000,2219882,10451939,12671821,88.9,34.1,0.237,0.087,0.126,0.258,0.132,0.16,"Clinton, Hillary",democrat,3090729,5536424,NA,NA,NA,2669746,3675643,121469,10161,436277,6445263,6226558,747690,1852516,260815,75500,8385,9726915,1.512823918,Democrat,20
Indiana,52560,48450,NA,6.2,3.2,40,6053000,578000,489353,6242866,6732219,88.6,25.9,0.246,0.091,0.118,0.25,0.134,0.161,"Trump, Donald J.",republican,1557286,2734958,NA,NA,NA,1727234,1239771,65020,4439,188066,3411859,3320360,174750,669596,145402,28340,4539,5709592,2.141689622,Republican,11
Iowa,58612,51347,NA,4.7,2.8,38,2956000,156000,198550,2956520,3155070,92,28.2,0.244,0.089,0.114,0.243,0.136,0.174,"Trump, Donald J.",republican,800983,1565580,NA,NA,NA,897012,758205,32477,1765,133762,1583995,1571075,84119,128105,61902,17060,4804,2859080,0.844902222,Republican,6
Kansas,57636,53005,NA,5.9,3.1,43,2589000,262000,356073,2557241,2913314,90.7,32.9,0.257,0.092,0.116,0.241,0.131,0.164,"Trump, Donald J.",republican,671018,1184402,NA,NA,NA,753370,551199,29761,1046,89277,1461617,1451697,92862,178725,89131,35063,3687,2513846,1.40917782,Republican,6
Kentucky,48585,43566,NA,5.6,4.3,49,4102000,283000,174706,4292967,4467673,85.7,23.6,0.237,0.089,0.114,0.254,0.137,0.17,"Trump, Donald J.",republican,1202971,1924149,NA,NA,NA,1326347,772223,36623,1503,111379,2266644,2201029,71504,378479,90171,13404,4192,3909923,0.171355114,Republican,8
Louisiana,51789,47344,NA,8.1,5.1,48,4135000,404000,246972,4401822,4648794,84.8,23.7,0.25,0.088,0.123,0.248,0.132,0.16,"Trump, Donald J.",republican,1178638,2029032,NA,NA,NA,1255776,856034,36252,5951,189148,2381744,2267050,84192,1524733,81576,36596,2854,2918843,0.653167583,Republican,8
Maine,56268,50417,NA,6.1,2.9,45,1221000,107000,23700,1320512,1344212,92.3,30.9,0.19,0.075,0.11,0.252,0.16,0.213,"Clinton, Hillary",democrat,357735,771892,NA,NA,NA,341949,420357,24031,150,7077,686100,658112,17420,22691,24553,9767,455,1269326,0.635046281,Democrat,4
