state,per_capita_income_2020,per_capita_income_2019,percentage_change_in_income,unemployment_010920,unemployment_010919,least_1_gun_percent,health_insured_2019_any_coverage,health_insured_2019_uninsured,is_hispanic,not_hispanic,tot_cases,tot_death,donald_trump,joe_biden,female,male,asian,black,mixed_race,native,native_hawaiian_pacific_islander,white,net_int_migration,Female,Male,Asian,Black,Mixed Race,Native,Native Hawaiian/Pacific Islander,White,Net_int_migration
Indiana,52560,48450,8.48,6.2,3.2,40,6053000,578000,978706,12485732,16051066,591042,952640,638908,5293268,5035222,267744,966996,144018,42740,6290,8900702,2.1416896216750487,2646634,2517611,133872,483498,72009,21370,3145,4450351,2.1416896216750487
Iowa,58612,51347,14.15,4.7,2.8,38,2956000,156000,397100,5913040,10902884,187429,444614,375649,2458162,2398296,129096,172266,58730,22286,6488,4467592,0.8449022223181097,1229081,1199148,64548,86133,29365,11143,3244,2233796,0.8449022223181097
Kansas,57636,53005,8.74,5.9,3.1,43,2589000,262000,712146,5114482,6932785,89621,321702,172960,2239542,2186586,144614,261898,92930,51734,5264,3869688,1.4091778199394196,1119771,1093293,72307,130949,46465,25867,2632,1934844,1.4091778199394196
Kentucky,48585,43566,11.52,5.6,4.3,49,4102000,283000,349412,8585934,8065815,162187,691780,499924,3555410,3374194,106504,562722,88770,20770,5924,6144914,0.17135511432298042,1777705,1687097,53252,281361,44385,10385,2962,3072457,0.17135511432298042
Louisiana,51789,47344,9.39,8.1,5.1,48,4135000,404000,493944,8803644,22065375,838346,772535,475227,3696250,3426078,131900,2241528,82820,54786,4328,4606966,0.6531675834647189,1848125,1713039,65950,1120764,41410,27393,2164,2303483,0.6531675834647189
Maine,56268,50417,11.61,6.1,2.9,45,1221000,107000,47400,2641024,805418,23551,160823,292197,1129686,1061054,27930,30210,28416,14718,662,2088804,0.6350462812338233,564843,530527,13965,15105,14208,7359,331,1044402,0.6350462812338233
Maryland,69341,64501,7.5,7.2,3.5,21,5589000,357000,1287644,10803716,18017750,659756,475203,796623,4925002,4496984,643722,2890112,190570,52790,9418,5635374,2.484960040498343,2462501,2248492,321861,1445056,95285,26395,4709,2817687,2.484960040498343
Massachusetts,86779,74089,17.13,9.6,2.8,10,6617000,204000,1709814,12075192,24298884,1645054,583839,1019161,5769410,5309996,797236,930240,205974,52544,10970,9082442,4.127145586490676,2884705,2654998,398618,465120,102987,26272,5485,4541221,4.127145586490676
Michigan,55484,49062,13.09,8.5,3.9,35,9308000,571000,1056410,18917304,20752027,1295482,1266667,1150630,8042152,7643696,527378,2104482,275346,110878,6212,12661552,1.3165136183699815,4021076,3821848,263689,1052241,137673,55439,3106,6330776,1.3165136183699815
Minnesota,64364,58524,9.98,6,3.2,39,5308000,273000,630260,10649004,12785895,322612,909364,1290972,4384868,4288082,424112,517070,144758,99890,5708,7481412,1.6206822746923963,2192434,2144041,212056,258535,72379,49945,2854,3740706,1.6206822746923963
Mississippi,43352,38647,12.17,7.1,5.6,50,2528000,377000,200220,5752078,11899369,365492,96418,174578,2382052,2173080,52122,1660538,40184,25926,2776,2773586,0.47975808643333767,1191026,1086540,26061,830269,20092,12963,1388,1386793,0.47975808643333767
Missouri,53036,48387,9.61,4.9,3.3,48,5417000,604000,537416,11737440,13805722,285954,703584,475378,4911054,4622632,209572,1072340,154576,53970,13524,8029704,0.8977856442558237,2455527,2311316,104786,536170,77288,26985,6762,4014852,0.8977856442558237
